,svc__C,svc__class_weight,svc__gamma,svc__shrinking,svc__tol,auc,f1,sensitivity,specificity,accuracy,pr_auc
Outer 35,64.27970340713952,balanced,0.005406354208868513,False,0.00030690479837042775,0.8389126604580922,0.43478260869565216,0.3448275862068966,0.948905109489051,0.8433734939759037,0.5003388077276335
Outer 36,28.59137079772333,balanced,0.00634985596120244,False,0.0002880299285825862,0.7890762647873143,0.49056603773584906,0.4482758620689655,0.9197080291970803,0.8373493975903614,0.614856999148519
Outer 37,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.7732192298011579,0.4444444444444444,0.41379310344827586,0.9051094890510949,0.8192771084337349,0.3991496984676218
Outer 38,0.5436608476518341,balanced,0.07899454978818819,True,0.0002600334614453278,0.789831361691417,0.4444444444444444,0.4827586206896552,0.8540145985401459,0.7891566265060241,0.5772840384763516
Outer 39,2.235377250498362,balanced,0.01567224569020578,False,0.0007374835780068096,0.8200352378555248,0.5,0.4827586206896552,0.9051094890510949,0.8313253012048193,0.5904276060269512
Outer 40,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.8177699471432167,0.53125,0.5862068965517241,0.8686131386861314,0.8192771084337349,0.5890988462671793
Outer 41,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.7827837905864585,0.47058823529411764,0.41379310344827586,0.927007299270073,0.8373493975903614,0.43799659585689804
Outer 42,37.23290123673132,balanced,0.004589221253288091,True,0.0008969513574435644,0.7246413289705512,0.42857142857142855,0.41379310344827586,0.8905109489051095,0.8072289156626506,0.4578082379314115
Outer 43,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.788572866851246,0.5555555555555556,0.5172413793103449,0.927007299270073,0.8554216867469879,0.588509109029008
Outer 44,20.62182199167119,balanced,0.011266905533531579,True,0.0009726271831441871,0.8346337780015102,0.5454545454545454,0.5172413793103449,0.9197080291970803,0.8493975903614458,0.6268370348807912
Outer 45,5.887824759650639,balanced,0.0010059168891638822,False,0.0010997330141673059,0.7359677825320916,0.4642857142857143,0.4482758620689655,0.8978102189781022,0.8192771084337349,0.3896931045238817
Outer 46,4.151629888303627,balanced,0.015088944925282333,True,0.0005603046009318612,0.7910898565315883,0.3508771929824561,0.3448275862068966,0.8686131386861314,0.7771084337349398,0.43948941466375513
Outer 47,63.90341375618905,balanced,0.002187645808135297,True,0.0006243030874856213,0.8197835388874906,0.6428571428571429,0.6206896551724138,0.9343065693430657,0.8795180722891566,0.5861931059532839
Outer 48,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.7727158318650893,0.49230769230769234,0.5517241379310345,0.8540145985401459,0.8012048192771084,0.40063820213073975
Outer 49,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.8051849987415052,0.5384615384615384,0.4827586206896552,0.9343065693430657,0.8554216867469879,0.5967837337759163
Outer 50,20.62182199167119,balanced,0.011266905533531579,True,0.0009726271831441871,0.8182733450792852,0.4897959183673469,0.41379310344827586,0.9416058394160584,0.8493975903614458,0.5890464931507255
Outer 51,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7382330732443997,0.4897959183673469,0.41379310344827586,0.9416058394160584,0.8493975903614458,0.48662689791405417
Outer 52,78.31626328903303,balanced,0.0015994510910836627,False,0.0010026637044263727,0.7686886483765417,0.40816326530612246,0.3448275862068966,0.927007299270073,0.8253012048192772,0.46215306667930733
Outer 53,0.44691606976391557,balanced,0.07178584203096708,True,0.0006749244964469974,0.7183488547696955,0.4444444444444444,0.41379310344827586,0.9051094890510949,0.8192771084337349,0.4712801823107445
Outer 54,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.7623961741756858,0.52,0.4482758620689655,0.9416058394160584,0.8554216867469879,0.454209431346541
Outer 55,0.44691606976391557,balanced,0.07178584203096708,True,0.0006749244964469974,0.7500629247420086,0.37037037037037035,0.3448275862068966,0.8905109489051095,0.7951807228915663,0.4868526041184251
Outer 56,84.22073815196796,,0.006153106780582078,True,0.0009767009301816353,0.8341303800654417,0.3902439024390244,0.27586206896551724,0.9708029197080292,0.8493975903614458,0.5311453975685504
Outer 57,64.27970340713952,balanced,0.005406354208868513,False,0.00030690479837042775,0.820286936823559,0.4583333333333333,0.3793103448275862,0.9416058394160584,0.8433734939759037,0.5622544102873973
Outer 58,37.23290123673132,balanced,0.004589221253288091,True,0.0008969513574435644,0.7329473949156808,0.45454545454545453,0.3448275862068966,0.9635036496350365,0.8554216867469879,0.48114583260141364
Outer 59,76.31915397388343,balanced,0.0030732732560141245,False,0.0005665442914751066,0.6456078530078027,0.3018867924528302,0.27586206896551724,0.8832116788321168,0.7771084337349398,0.41754275215389314
Outer 60,30.415914447212852,balanced,0.009460666136039821,True,0.00046690094040206266,0.7334507928517493,0.44,0.3793103448275862,0.927007299270073,0.8313253012048193,0.49919771162881865
Outer 61,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7201107475459351,0.4406779661016949,0.4482758620689655,0.8759124087591241,0.8012048192771084,0.5126981350836066
Outer 62,10.163416480906612,balanced,0.0020018056703374146,False,0.0005907658890910704,0.8124842688144979,0.5416666666666666,0.4482758620689655,0.9562043795620438,0.8674698795180723,0.536673879365033
Outer 63,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7500629247420085,0.49056603773584906,0.4482758620689655,0.9197080291970803,0.8373493975903614,0.5177439263502582
Outer 64,78.31626328903303,balanced,0.0015994510910836627,False,0.0010026637044263727,0.7739743267052605,0.4,0.3103448275862069,0.948905109489051,0.8373493975903614,0.42014650122018604
Outer 65,64.27970340713952,balanced,0.005406354208868513,False,0.00030690479837042775,0.6748049332997735,0.2978723404255319,0.2413793103448276,0.9197080291970803,0.8012048192771084,0.3367512307536516
Outer 66,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7860558771709036,0.5555555555555556,0.5172413793103449,0.927007299270073,0.8554216867469879,0.45807910298190396
Outer 67,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.8556506418323684,0.6181818181818182,0.5862068965517241,0.9343065693430657,0.8734939759036144,0.6805347539084085
Outer 68,6.628460013144645,balanced,0.0014296170009139334,False,0.0010811793521245372,0.7153284671532847,0.37735849056603776,0.3448275862068966,0.8978102189781022,0.8012048192771084,0.42768657021288353
Outer 69,5.887824759650639,balanced,0.0010059168891638822,False,0.0010997330141673059,0.8031714069972313,0.5666666666666667,0.5862068965517241,0.8978102189781022,0.8433734939759037,0.5838031209670069
Outer 70,24.50033949684822,balanced,0.002138043778203092,True,0.0008782136015438967,0.7790083060659452,0.41509433962264153,0.3793103448275862,0.9051094890510949,0.8132530120481928,0.4976113212678565
Outer 71,53.38080571984233,,0.02220636051140439,False,0.000850409859102035,0.8356405738736471,0.4888888888888889,0.3793103448275862,0.9635036496350365,0.8614457831325302,0.5723569708213949
Outer 72,78.31626328903303,balanced,0.0015994510910836627,False,0.0010026637044263727,0.8474704253712559,0.6376811594202898,0.7586206896551724,0.8686131386861314,0.8493975903614458,0.6246290981358098
Outer 73,20.62182199167119,balanced,0.011266905533531579,True,0.0009726271831441871,0.7246413289705512,0.4444444444444444,0.3448275862068966,0.9562043795620438,0.8493975903614458,0.46852208099031634
Outer 74,12.519378356493593,balanced,0.0012534425756448673,True,0.0006189983629327564,0.7253964258746539,0.35714285714285715,0.3448275862068966,0.8759124087591241,0.7831325301204819,0.395964650564695
Outer 75,78.31626328903303,balanced,0.0015994510910836627,False,0.0010026637044263727,0.7729675308331236,0.5490196078431373,0.4827586206896552,0.9416058394160584,0.8614457831325302,0.5899346277835881
Outer 76,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.8066951925497106,0.5666666666666667,0.5862068965517241,0.8978102189781022,0.8433734939759037,0.5919717119405354
Outer 77,24.50033949684822,balanced,0.002138043778203092,True,0.0008782136015438967,0.8192801409514221,0.5283018867924528,0.4827586206896552,0.927007299270073,0.8493975903614458,0.5723194033428005
Outer 78,5.902521299435327,balanced,0.0013089778198313213,True,0.0003416029166538498,0.6498867354643846,0.46153846153846156,0.41379310344827586,0.9197080291970803,0.8313253012048193,0.4256983635532745
Outer 79,10.163416480906612,balanced,0.0020018056703374146,False,0.0005907658890910704,0.750566322678077,0.5217391304347826,0.41379310344827586,0.9635036496350365,0.8674698795180723,0.543185200313069
Outer 80,0.4547329493351079,balanced,0.056067183648876015,False,0.0009851404133120046,0.7474200855776492,0.36666666666666664,0.3793103448275862,0.8540145985401459,0.7710843373493976,0.3933631558284956
Outer 81,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.8069468915177448,0.509090909090909,0.4827586206896552,0.9124087591240876,0.8373493975903614,0.6203294129000787
Outer 82,0.5436608476518341,balanced,0.07899454978818819,True,0.0002600334614453278,0.7272841681349107,0.4,0.3793103448275862,0.8905109489051095,0.8012048192771084,0.47872124805124916
Outer 83,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.7863075761389378,0.38596491228070173,0.3793103448275862,0.8759124087591241,0.7891566265060241,0.436215539505274
Outer 84,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.7588723886232066,0.4927536231884058,0.5862068965517241,0.8321167883211679,0.7891566265060241,0.5044099909103961
Outer 85,2.0161527374602035,balanced,0.0032031026405922387,False,0.0007227810443865497,0.7158318650893531,0.32653061224489793,0.27586206896551724,0.9124087591240876,0.8012048192771084,0.3686531290942876
Outer 86,4.151629888303627,balanced,0.015088944925282333,True,0.0005603046009318612,0.7963755348603071,0.5862068965517241,0.5862068965517241,0.9124087591240876,0.8554216867469879,0.6141995446236281
Outer 87,34.3586013326402,balanced,0.00312387202935028,True,0.0009078354592960696,0.795117040020136,0.4745762711864407,0.4827586206896552,0.8832116788321168,0.8132530120481928,0.5168416238348478
Outer 88,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.853007802668009,0.4897959183673469,0.41379310344827586,0.9416058394160584,0.8493975903614458,0.5953669350691989
Outer 89,31.72208542809299,,0.008460677788353917,True,0.001037150007971858,0.7883211678832116,0.38095238095238093,0.27586206896551724,0.9635036496350365,0.8433734939759037,0.4983023445119499
Outer 90,25.152341288668936,balanced,0.0011607092785083533,False,0.0006731322632681805,0.7002265290712308,0.46153846153846156,0.41379310344827586,0.9197080291970803,0.8313253012048193,0.5029068841294355
Outer 91,5.902521299435327,balanced,0.0013089778198313213,True,0.0003416029166538498,0.7393657186005538,0.4482758620689655,0.4482758620689655,0.8832116788321168,0.8072289156626506,0.4100235138496303
Outer 92,63.90341375618905,balanced,0.002187645808135297,True,0.0006243030874856213,0.8358922728416813,0.5714285714285714,0.5517241379310345,0.9197080291970803,0.8554216867469879,0.6615577410413315
Outer 93,20.62182199167119,balanced,0.011266905533531579,True,0.0009726271831441871,0.6783287188522527,0.17391304347826086,0.13793103448275862,0.9051094890510949,0.7710843373493976,0.24686603430809684
Outer 94,78.31626328903303,balanced,0.0015994510910836627,False,0.0010026637044263727,0.7679335514724389,0.425531914893617,0.3448275862068966,0.9416058394160584,0.8373493975903614,0.49767989043492855
Outer 95,30.415914447212852,balanced,0.009460666136039821,True,0.00046690094040206266,0.807198590485779,0.5185185185185185,0.4827586206896552,0.9197080291970803,0.8433734939759037,0.5886750767898752
Outer 96,20.62182199167119,balanced,0.011266905533531579,True,0.0009726271831441871,0.7598791844953435,0.4782608695652174,0.3793103448275862,0.9562043795620438,0.8554216867469879,0.561796055460382
Outer 97,24.50033949684822,balanced,0.002138043778203092,True,0.0008782136015438967,0.7246413289705512,0.46153846153846156,0.41379310344827586,0.9197080291970803,0.8313253012048193,0.4906645376965153
Outer 98,12.519378356493593,balanced,0.0012534425756448673,True,0.0006189983629327564,0.7880694689151775,0.4782608695652174,0.3793103448275862,0.9562043795620438,0.8554216867469879,0.5411215736939371
Outer 99,58.58810608126978,balanced,0.0010128938732722203,False,0.0006956211130203742,0.8545179964762145,0.4827586206896552,0.4827586206896552,0.8905109489051095,0.8192771084337349,0.6108950416029554
