,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 806 - Inner 2,59,10,3,0.9201182333976237,9,True,0.8302752293577982,0.5,0.4166666666666667,0.944954128440367,0.849624060150376
Outer 806 - Inner 3,59,4,3,0.7548710658067921,23,True,0.8142201834862386,0.5581395348837209,0.5,0.9357798165137615,0.8571428571428571
Outer 806 - Inner 4,30,7,4,0.9843601163179727,14,True,0.7817278287461774,0.5106382978723404,0.5,0.8990825688073395,0.8270676691729323
Outer 806 - Inner 5,75,6,3,0.8594806351429206,11,True,0.8100152905198778,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 807 - Inner 0,61,4,1,0.9943711620309437,20,True,0.7882262996941896,0.32432432432432434,0.25,0.9357798165137615,0.8120300751879699
Outer 807 - Inner 1,45,2,2,0.5638328486799145,15,True,0.782874617737003,0.3076923076923077,0.25,0.9174311926605505,0.7969924812030075
Outer 807 - Inner 2,69,7,3,0.936074127728469,30,True,0.8061926605504588,0.29411764705882354,0.20833333333333334,0.9541284403669725,0.8195488721804511
Outer 807 - Inner 3,36,7,4,0.8083550079193229,23,True,0.8211009174311926,0.39999999999999997,0.375,0.8899082568807339,0.7969924812030075
Outer 807 - Inner 4,45,7,3,0.7350677403630397,24,True,0.764525993883792,0.35000000000000003,0.2916666666666667,0.9174311926605505,0.8045112781954887
Outer 807 - Inner 5,35,2,1,0.9794965910231471,19,True,0.7412079510703364,0.32432432432432434,0.25,0.9357798165137615,0.8120300751879699
Outer 808 - Inner 0,58,6,3,0.7118006457712229,13,True,0.8555045871559634,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 808 - Inner 1,35,2,1,0.6237986616248586,8,True,0.8260703363914372,0.4782608695652174,0.4583333333333333,0.8990825688073395,0.8195488721804511
Outer 808 - Inner 2,37,3,1,0.922268951299078,26,True,0.7268730886850152,0.4210526315789474,0.3333333333333333,0.944954128440367,0.8345864661654135
Outer 808 - Inner 3,56,9,1,0.7680253801643553,9,True,0.8451834862385321,0.5714285714285715,0.5,0.944954128440367,0.8646616541353384
Outer 808 - Inner 4,39,5,1,0.7180334478937325,8,True,0.8386850152905199,0.4615384615384615,0.375,0.944954128440367,0.8421052631578947
Outer 808 - Inner 5,74,3,1,0.7655479338907263,19,True,0.8258792048929664,0.3783783783783784,0.2916666666666667,0.944954128440367,0.8270676691729323
Outer 809 - Inner 0,52,8,2,0.5404577378242837,26,True,0.8069571865443426,0.48780487804878053,0.4166666666666667,0.9357798165137615,0.8421052631578947
Outer 809 - Inner 1,42,10,2,0.977361556550068,30,True,0.7985474006116209,0.4390243902439025,0.375,0.926605504587156,0.8270676691729323
Outer 809 - Inner 2,64,7,4,0.9712067510513543,26,True,0.831039755351682,0.5454545454545454,0.5,0.926605504587156,0.849624060150376
Outer 809 - Inner 3,62,7,1,0.9813641339797845,7,True,0.8230122324159022,0.4888888888888889,0.4583333333333333,0.908256880733945,0.8270676691729323
Outer 809 - Inner 4,46,6,3,0.9810761186886101,12,True,0.8069571865443425,0.6341463414634146,0.5416666666666666,0.963302752293578,0.8872180451127819
Outer 809 - Inner 5,68,8,4,0.6974594785108453,13,True,0.8440366972477064,0.5405405405405406,0.4166666666666667,0.9724770642201835,0.8721804511278195
Outer 810 - Inner 0,66,7,3,0.927145872922671,23,True,0.801605504587156,0.5,0.4166666666666667,0.944954128440367,0.849624060150376
Outer 810 - Inner 1,54,9,1,0.7530561060162619,18,True,0.8719418960244648,0.5128205128205129,0.4166666666666667,0.9541284403669725,0.8571428571428571
Outer 810 - Inner 2,58,4,2,0.967299482461042,18,True,0.8262614678899082,0.5217391304347826,0.5,0.908256880733945,0.8345864661654135
