,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 208,auto,euclidean,3,uniform,0.6462371004278883,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 209,auto,euclidean,3,uniform,0.6648628240624213,0.11764705882352941,0.06896551724137931,0.9781021897810219,0.8192771084337349
Outer 210,auto,euclidean,3,uniform,0.528190284419834,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 211,auto,euclidean,3,uniform,0.6059652655424113,0.32432432432432434,0.20689655172413793,0.9854014598540146,0.8493975903614458
Outer 212,auto,euclidean,3,uniform,0.6599546941857539,0.3076923076923077,0.20689655172413793,0.9708029197080292,0.8373493975903614
Outer 213,auto,euclidean,3,uniform,0.6894034734457589,0.3684210526315789,0.2413793103448276,0.9854014598540146,0.8554216867469879
Outer 214,auto,euclidean,3,uniform,0.5422854266297509,0.0,0.0,0.9781021897810219,0.8072289156626506
Outer 215,auto,euclidean,3,uniform,0.6798389126604582,0.45,0.3103448275862069,0.9854014598540146,0.8674698795180723
Outer 216,auto,euclidean,3,uniform,0.6466146488799396,0.3157894736842105,0.20689655172413793,0.9781021897810219,0.8433734939759037
Outer 217,auto,euclidean,3,uniform,0.6323936571860056,0.22857142857142856,0.13793103448275862,0.9854014598540146,0.8373493975903614
Outer 218,auto,euclidean,3,uniform,0.5013843443241882,0.058823529411764705,0.034482758620689655,0.9708029197080292,0.8072289156626506
Outer 219,auto,euclidean,3,uniform,0.5779008306065945,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 220,auto,euclidean,3,uniform,0.5982884470173673,0.23809523809523808,0.1724137931034483,0.9416058394160584,0.8072289156626506
Outer 221,auto,euclidean,3,uniform,0.5741253460860811,0.2553191489361702,0.20689655172413793,0.9124087591240876,0.7891566265060241
Outer 222,auto,euclidean,3,uniform,0.5289453813239366,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 223,auto,euclidean,3,uniform,0.5816763151271079,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 224,auto,euclidean,3,uniform,0.5291970802919708,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 225,auto,euclidean,3,uniform,0.5756355398942865,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 226,auto,euclidean,3,uniform,0.533727661716587,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 227,auto,euclidean,3,uniform,0.6682607601308835,0.3333333333333333,0.27586206896551724,0.9197080291970803,0.8072289156626506
Outer 228,auto,euclidean,3,uniform,0.5809212182230054,0.15789473684210525,0.10344827586206896,0.9562043795620438,0.8072289156626506
Outer 229,auto,euclidean,3,uniform,0.5368738988170149,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 230,auto,euclidean,3,uniform,0.5830606594512963,0.2564102564102564,0.1724137931034483,0.9635036496350365,0.8253012048192772
Outer 231,auto,euclidean,3,uniform,0.5997986408255727,0.1951219512195122,0.13793103448275862,0.9416058394160584,0.8012048192771084
Outer 232,auto,euclidean,3,uniform,0.5848225522275359,0.3,0.20689655172413793,0.9635036496350365,0.8313253012048193
Outer 233,auto,euclidean,3,uniform,0.6355398942864334,0.3157894736842105,0.20689655172413793,0.9781021897810219,0.8433734939759037
Outer 234,auto,euclidean,3,uniform,0.6054618676063428,0.2564102564102564,0.1724137931034483,0.9635036496350365,0.8253012048192772
Outer 235,auto,euclidean,3,uniform,0.5917442738484772,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 236,auto,euclidean,3,uniform,0.5748804429901837,0.058823529411764705,0.034482758620689655,0.9708029197080292,0.8072289156626506
Outer 237,auto,euclidean,3,uniform,0.6575635539894287,0.16216216216216217,0.10344827586206896,0.9635036496350365,0.8132530120481928
Outer 238,auto,euclidean,3,uniform,0.5967782532091619,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 239,auto,euclidean,3,uniform,0.5449282657941104,0.10526315789473684,0.06896551724137931,0.948905109489051,0.7951807228915663
