,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 583,69,4,1,0.9915514819632056,3,True,0.6999748301031966,0.0,0.0,1.0,0.8253012048192772
Outer 584,48,2,4,0.8965471964147217,5,True,0.6894034734457589,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 585,48,3,2,0.9326919111097632,9,True,0.778756607097911,0.2424242424242424,0.13793103448275862,1.0,0.8493975903614458
Outer 586,69,4,4,0.9714925802512628,5,True,0.7817769947143217,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 587,52,4,1,0.9985380417629657,4,True,0.7737226277372263,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 588,31,2,1,0.9991348373142125,4,True,0.7649131638560281,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 589,58,3,2,0.9944768291961517,3,True,0.7926000503397936,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 590,54,4,4,0.7403850612648355,4,True,0.7213692423861062,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 591,69,2,3,0.7367757748212573,2,True,0.7286685124590989,0.0,0.0,1.0,0.8253012048192772
Outer 592,66,4,3,0.9829716487315345,7,True,0.8212937326956959,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 593,64,5,2,0.729871360538339,5,True,0.6632267807701988,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 594,67,2,1,0.8062493218870987,4,True,0.7659199597281651,0.0,0.0,1.0,0.8253012048192772
Outer 595,46,3,4,0.9006077175763424,9,True,0.823559023408004,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 596,65,2,1,0.6735591156519314,2,True,0.7618927762396174,0.0,0.0,1.0,0.8253012048192772
Outer 597,61,5,4,0.9962114688929518,3,True,0.7563553989428643,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 598,51,4,2,0.9998929036982411,4,True,0.788572866851246,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 599,61,3,4,0.9163537181307939,6,True,0.7674301535363706,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 600,72,3,1,0.7935345949864339,5,True,0.8092121822300529,0.0,0.0,1.0,0.8253012048192772
Outer 601,49,3,1,0.8889629186684707,3,True,0.7976340297004783,0.0,0.0,1.0,0.8253012048192772
Outer 602,66,2,3,0.9036562002637141,5,True,0.7226277372262774,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 603,75,4,1,0.7437915830090032,3,True,0.872640322174679,0.0,0.0,1.0,0.8253012048192772
Outer 604,48,3,4,0.9387574896515087,8,True,0.725648124842688,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 605,64,4,2,0.7753455096438998,8,True,0.7588723886232066,0.0,0.0,1.0,0.8253012048192772
Outer 606,46,3,2,0.8634133112624556,5,True,0.752579914422351,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 607,61,5,1,0.9279239827439335,5,True,0.7382330732443997,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 608,72,3,4,0.9011801488930148,5,True,0.772212433929021,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 609,74,4,4,0.9348810234218429,5,True,0.7498112257739743,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 610,74,3,3,0.615622278416678,9,True,0.7397432670526051,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 611,71,5,4,0.9735141441268885,9,True,0.8046816008054367,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 612,66,3,1,0.5937911751009466,3,True,0.7203624465139693,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 613,68,3,3,0.9750416362899506,8,True,0.8190284419833878,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 614,66,4,3,0.5912459702656185,4,True,0.6551724137931034,0.0,0.0,1.0,0.8253012048192772
Outer 615,69,3,4,0.8778078137392218,3,True,0.8655927510697206,0.0,0.0,1.0,0.8253012048192772
Outer 616,74,2,1,0.874911924235098,4,True,0.806191794613642,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 617,73,5,4,0.8240229785655104,8,True,0.7953687389881702,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 618,70,3,4,0.9110416860148436,8,True,0.730933803171407,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 619,74,4,1,0.9860432125389702,4,True,0.8094638811980871,0.0,0.0,1.0,0.8253012048192772
Outer 620,39,5,3,0.7620860193395051,6,True,0.7085325950163603,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 621,56,5,2,0.8379603095499717,3,True,0.6919204631261012,0.0,0.0,1.0,0.8253012048192772
Outer 622,75,2,2,0.8770398269780686,4,True,0.8706267304304052,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 623,74,3,4,0.9990856398307774,9,True,0.7986408255726152,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 624,71,5,3,0.8808718743444752,9,True,0.7704505411527813,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 625,54,2,4,0.7839497792670416,5,True,0.7674301535363706,0.0,0.0,1.0,0.8253012048192772
Outer 626,72,4,4,0.7613921551942254,7,True,0.775484520513466,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 627,68,5,1,0.9618386906602934,8,True,0.7324439969796124,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 628,71,3,3,0.6337540728043329,10,True,0.7533350113264535,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 629,67,5,4,0.9629682630863272,3,True,0.6060911150264283,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 630,72,3,3,0.6362628212067591,7,True,0.717845456833627,0.1212121212121212,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 631,72,2,2,0.9895497807188287,4,True,0.7498112257739743,0.0,0.0,1.0,0.8253012048192772
Outer 632,67,4,4,0.7841777889123649,10,True,0.7488044299018375,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 633,68,4,3,0.9151670257048277,3,True,0.7347092876919205,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 634,73,4,1,0.9948810863357546,2,True,0.7374779763402971,0.0,0.0,1.0,0.8253012048192772
Outer 635,63,5,4,0.8773745256574677,5,True,0.6828593002768688,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 636,74,2,4,0.811767869876638,6,True,0.7558520010067958,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 637,54,3,3,0.6267311386606471,5,True,0.7135665743770451,0.0,0.0,1.0,0.8253012048192772
Outer 638,68,3,3,0.9743252458492353,9,True,0.7329473949156808,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 639,49,5,4,0.9955141581082374,3,True,0.7915932544676567,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 640,63,4,3,0.8223142576541448,2,True,0.7490561288698717,0.0,0.0,1.0,0.8253012048192772
Outer 641,53,2,3,0.5723471763078007,10,True,0.7656682607601308,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 642,74,3,2,0.8547115008250885,5,True,0.774477724641329,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 643,75,4,2,0.8991236018369521,8,True,0.7128114774729424,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 644,70,2,2,0.9001302458654414,3,True,0.7757362194815002,0.0,0.0,1.0,0.8253012048192772
Outer 645,67,4,4,0.8266487670141089,10,True,0.8223005285678329,0.2424242424242424,0.13793103448275862,1.0,0.8493975903614458
Outer 646,69,3,2,0.8944184185330959,10,True,0.7279134155549962,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 647,61,3,1,0.994532088286598,3,True,0.7561036999748302,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 648,65,2,4,0.6065281928769083,8,True,0.7550969041026931,0.0,0.0,1.0,0.8253012048192772
Outer 649,62,3,3,0.9777150383707189,3,True,0.7676818525044047,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 650,34,5,2,0.9024226112457797,5,True,0.6982129373269569,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 651,74,4,3,0.9484135232366959,5,True,0.7467908381575636,0.0,0.0,1.0,0.8253012048192772
Outer 652,73,2,1,0.9881230869733741,8,True,0.7780015101938081,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 653,65,2,2,0.5479071417359496,3,True,0.7329473949156808,0.0,0.0,1.0,0.8253012048192772
