,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 84,auto,manhattan,23,uniform,0.6079788572866851,0.0,0.0,1.0,0.8253012048192772
Outer 85,auto,euclidean,23,uniform,0.5604077523282155,0.0,0.0,0.9854014598540146,0.8132530120481928
Outer 86,auto,manhattan,23,uniform,0.553360181223257,0.0,0.0,1.0,0.8253012048192772
Outer 87,auto,euclidean,6,uniform,0.6210672036244651,0.0,0.0,0.9854014598540146,0.8132530120481928
Outer 88,auto,euclidean,16,distance,0.5844450037754845,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 89,auto,manhattan,19,uniform,0.581676315127108,0.0,0.0,1.0,0.8253012048192772
Outer 90,auto,manhattan,22,uniform,0.616536622199849,0.0,0.0,1.0,0.8253012048192772
Outer 91,auto,euclidean,19,distance,0.5689655172413793,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 92,auto,euclidean,10,uniform,0.516360432922225,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 93,auto,manhattan,23,uniform,0.628618172665492,0.0,0.0,1.0,0.8253012048192772
Outer 94,auto,euclidean,14,uniform,0.5442990183740246,0.0,0.0,1.0,0.8253012048192772
Outer 95,auto,euclidean,17,uniform,0.6554241127611377,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 96,auto,manhattan,13,uniform,0.6130128366473698,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 97,auto,manhattan,22,uniform,0.5984142965013844,0.0,0.0,1.0,0.8253012048192772
Outer 98,auto,manhattan,19,uniform,0.6268562798892523,0.0,0.0,1.0,0.8253012048192772
Outer 99,auto,euclidean,24,uniform,0.663478479738233,0.0,0.0,1.0,0.8253012048192772
Outer 100,auto,euclidean,15,uniform,0.6094890510948905,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 101,auto,euclidean,16,uniform,0.48615655675811736,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 102,auto,euclidean,15,uniform,0.4952177196073496,0.0625,0.034482758620689655,0.9854014598540146,0.8192771084337349
Outer 103,auto,manhattan,11,uniform,0.6354140448024163,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 104,auto,euclidean,21,uniform,0.6652403725144727,0.0,0.0,1.0,0.8253012048192772
Outer 105,auto,euclidean,18,uniform,0.6300025169896804,0.0,0.0,1.0,0.8253012048192772
Outer 106,auto,euclidean,12,uniform,0.574125346086081,0.0,0.0,1.0,0.8253012048192772
Outer 107,auto,manhattan,12,uniform,0.5668260760130883,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 108,auto,euclidean,7,uniform,0.6262270324691668,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 109,auto,euclidean,22,uniform,0.5402718348854769,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 110,auto,euclidean,4,distance,0.5495846967027436,0.15789473684210528,0.10344827586206896,0.9562043795620438,0.8072289156626506
Outer 111,auto,euclidean,22,uniform,0.6354140448024164,0.0,0.0,1.0,0.8253012048192772
Outer 112,auto,manhattan,18,distance,0.5724893027938585,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 113,auto,manhattan,15,uniform,0.5137175937578655,0.0,0.0,1.0,0.8253012048192772
Outer 114,auto,manhattan,15,uniform,0.5537377296753083,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 115,auto,euclidean,23,distance,0.62522023659703,0.0,0.0,1.0,0.8253012048192772
Outer 116,auto,manhattan,21,uniform,0.5366221998489806,0.0,0.0,1.0,0.8253012048192772
Outer 117,auto,manhattan,19,uniform,0.595897306821042,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 118,auto,euclidean,24,uniform,0.5819280140951422,0.0,0.0,1.0,0.8253012048192772
Outer 119,auto,manhattan,21,uniform,0.6668764158066952,0.0,0.0,1.0,0.8253012048192772
Outer 120,auto,manhattan,18,uniform,0.5553737729675308,0.0,0.0,1.0,0.8253012048192772
Outer 121,auto,manhattan,21,uniform,0.5833123584193305,0.0,0.0,1.0,0.8253012048192772
Outer 122,auto,manhattan,3,distance,0.41782028693682355,0.0,0.0,0.927007299270073,0.7650602409638554
Outer 123,auto,manhattan,3,distance,0.5188774226025673,0.08163265306122448,0.06896551724137931,0.8686131386861314,0.7289156626506024
Outer 124,auto,manhattan,18,uniform,0.5708532595016361,0.0,0.0,1.0,0.8253012048192772
