,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 10 - Inner 0,126,2,2,0.8479039885343558,12,True,0.778756607097911,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 10 - Inner 1,187,4,3,0.9612144874886377,29,True,0.8066951925497106,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 10 - Inner 2,57,4,1,0.8396235550766379,15,True,0.7664233576642335,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 10 - Inner 3,150,9,2,0.9156170461045099,27,True,0.7618927762396175,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 10 - Inner 4,136,3,4,0.7705950779476342,23,True,0.7807701988421847,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 10 - Inner 5,120,4,2,0.8257204341676905,24,True,0.8211678832116789,0.23529411764705882,0.13793103448275862,0.9927007299270073,0.8433734939759037
Outer 11 - Inner 0,70,5,2,0.9659374118926229,7,True,0.7696954442486786,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 11 - Inner 1,74,3,2,0.5821742530722046,23,True,0.7802668009061162,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 11 - Inner 2,193,9,2,0.696526458692881,14,True,0.7941102441479989,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 11 - Inner 3,87,4,1,0.9871321452128057,25,True,0.7430153536370501,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 11 - Inner 4,120,6,1,0.7262618870258216,11,True,0.7772464132897055,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 11 - Inner 5,179,2,1,0.8140768906145732,7,True,0.7837905864585955,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 12 - Inner 0,185,6,3,0.9442347073031565,27,True,0.6541656179209665,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 12 - Inner 1,112,10,4,0.8891894028257791,14,True,0.6707777498112257,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 12 - Inner 2,56,3,4,0.8180599586845378,27,True,0.6783287188522528,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 12 - Inner 3,183,10,4,0.7622907461740415,25,True,0.6551724137931034,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 12 - Inner 4,115,4,4,0.6991058821960748,26,True,0.7221243392902089,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 12 - Inner 5,153,7,3,0.6818284272765334,13,True,0.6657437704505411,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 13 - Inner 0,132,8,3,0.8811502935211145,20,True,0.8507425119557009,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 13 - Inner 1,151,6,1,0.8745043388837547,5,True,0.8185250440473194,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 13 - Inner 2,185,5,3,0.5422873861577964,19,True,0.849735716083564,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 13 - Inner 3,189,6,3,0.904914197362942,14,True,0.8552730933803171,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 13 - Inner 4,106,3,1,0.9220817112810705,14,True,0.8535112006040775,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 13 - Inner 5,192,9,4,0.9301507321716294,14,True,0.8673546438459603,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 14 - Inner 0,91,5,3,0.5416058605407601,12,True,0.7841681349106469,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
