,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 290 - Inner 5,69,9,1,0.9916728814253943,12,True,0.8061926605504588,0.3783783783783784,0.2916666666666667,0.944954128440367,0.8270676691729323
Outer 291 - Inner 0,194,6,3,0.924383405381688,22,True,0.7771406727828746,0.2777777777777778,0.20833333333333334,0.9357798165137615,0.8045112781954887
Outer 291 - Inner 1,95,8,4,0.9875540607213769,17,True,0.8035168195718655,0.45,0.375,0.9357798165137615,0.8345864661654135
Outer 291 - Inner 2,155,3,2,0.6696417467248303,29,True,0.8058103975535168,0.48648648648648646,0.375,0.963302752293578,0.8571428571428571
Outer 291 - Inner 3,114,9,2,0.823738089568895,14,True,0.7893730886850153,0.48780487804878053,0.4166666666666667,0.9357798165137615,0.8421052631578947
Outer 291 - Inner 4,120,5,3,0.8979292590358707,24,True,0.8073394495412844,0.4571428571428572,0.3333333333333333,0.9724770642201835,0.8571428571428571
Outer 291 - Inner 5,148,7,2,0.7724708263735748,28,True,0.809250764525994,0.47058823529411764,0.3333333333333333,0.981651376146789,0.8646616541353384
Outer 292 - Inner 0,189,8,1,0.6464257950841714,7,True,0.8226299694189603,0.4897959183673469,0.5,0.8807339449541285,0.8120300751879699
Outer 292 - Inner 1,139,2,1,0.9591772000072583,15,True,0.743119266055046,0.4888888888888889,0.4583333333333333,0.908256880733945,0.8270676691729323
Outer 292 - Inner 2,51,6,1,0.7730922319451721,11,True,0.7083333333333334,0.4186046511627907,0.375,0.908256880733945,0.8120300751879699
Outer 292 - Inner 3,150,3,1,0.9737018485312616,27,True,0.7975917431192661,0.48780487804878053,0.4166666666666667,0.9357798165137615,0.8421052631578947
Outer 292 - Inner 4,82,6,1,0.6326858534020442,16,True,0.7706422018348622,0.5531914893617021,0.5416666666666666,0.908256880733945,0.8421052631578947
Outer 292 - Inner 5,151,5,1,0.9712411860956307,26,True,0.7698776758409784,0.4782608695652174,0.4583333333333333,0.8990825688073395,0.8195488721804511
Outer 293 - Inner 0,110,9,1,0.6515988249337092,21,True,0.7220948012232415,0.39024390243902435,0.3333333333333333,0.9174311926605505,0.8120300751879699
Outer 293 - Inner 1,195,5,1,0.6323164139246596,22,True,0.7274464831804283,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 293 - Inner 2,192,7,1,0.6446051967095932,11,True,0.7779051987767583,0.4102564102564102,0.3333333333333333,0.9357798165137615,0.8270676691729323
Outer 293 - Inner 3,164,8,1,0.5927213439433312,16,True,0.7492354740061162,0.4186046511627907,0.375,0.908256880733945,0.8120300751879699
Outer 293 - Inner 4,168,8,4,0.753097367739695,11,True,0.7698776758409785,0.4444444444444445,0.4166666666666667,0.8990825688073395,0.8120300751879699
Outer 293 - Inner 5,184,3,2,0.9340873549475324,25,True,0.7610856269113149,0.42857142857142855,0.375,0.9174311926605505,0.8195488721804511
Outer 294 - Inner 0,71,4,2,0.9187231328004786,22,True,0.8742354740061161,0.5142857142857142,0.375,0.981651376146789,0.8721804511278195
Outer 294 - Inner 1,195,4,1,0.5410454603108336,28,True,0.8983180428134556,0.6153846153846154,0.5,0.9724770642201835,0.8872180451127819
Outer 294 - Inner 2,76,3,1,0.8225808146886076,10,True,0.8560779816513762,0.5128205128205129,0.4166666666666667,0.9541284403669725,0.8571428571428571
Outer 294 - Inner 3,92,10,2,0.9755690228070515,24,True,0.8253058103975536,0.25806451612903225,0.16666666666666666,0.9724770642201835,0.8270676691729323
Outer 294 - Inner 4,72,2,1,0.5890513308538404,25,True,0.8501529051987767,0.4,0.3333333333333333,0.926605504587156,0.8195488721804511
Outer 294 - Inner 5,98,4,1,0.5185542464293207,9,True,0.8547400611620795,0.4583333333333333,0.4583333333333333,0.8807339449541285,0.8045112781954887
